"CrashDate","CrashYear","CrashMonth","CrashDay","CrashTime","LightCondition","Weather","County","CityVillageTownshipName","Lat","Long","PedestrianRelated","BicycleRelated","Narrative"
2018-01-05,2018,1,5,21:26:00,"Dark - Lighted Roadway","Clear","Franklin County","Columbus",39.97131,-82.92296,TRUE,FALSE,"Driver of Unit #2 stated that he was westbound on E. Broad St coming up to Gould Rd; when he hit something. Driver of Unit #2 stated that he stopped saw he had a pedestrian; panicked and took off. Driver of Unit #2 stated that he was trying to find a safe place to pull over after the accident but never stopped until the police pulled him over.   Occupant of Unit #2 stated that she felt them hit something but did not know what it was. Occupant #2 stated they got out to see what it was and saw it was a man in a wheelchair. Occupant #2 stated that she got back into the vehicle; but then Driver of Unit #2 left the scene. Occupant #2 stated that she kept telling Driver #2 to stop the vehicle; however he would not. Occupant #2 stated that the vehicle was damaged and began slowing down on its on. Occupant #2 stated that the police eventually caught up to them and stopped them.   Witness #1 stated she observed Pedestrian #1 riding westbound on E. Broad St in his wheelchair. Witness #1 stated that as Pedestrian #1 was riding in the roadway; Unit #2 hit him and then later took off westbound on E. Broad St. Witness #1 stated that Pedestrian #1 frequently rides in the roadway and they always tell him not to.   Witness #2 stated that he was westbound on E. Broad St; when they came up to an accident scene. Witness #2 stated that he observed Unit #2 take off westbound on E. Broad St; so he called the police and followed it until officers arrived.   Pedestrian #1 was transported to Grant Medical Center in ""non-life threatening"" condition by Columbus Division of Fire Medic 20. Pedestrian #1 was treated at Grant Medical Center by Dr. Kurts and Sepy-Bell for a bump/knot and a cut on the forehead; fractured c1 and c2 vertibrates; and a lacerated kidney.  Officers determined that Pedestrian #1 was at fault for the accident as there is a sidewalk provided. Officers cited Driver of Unit #2 for Hit Skip and summonsed him to court. Unit #2 was impounded to the city impound lot."
2018-01-02,2018,1,2,19:18:00,"Dark - Roadway Not Lighted","Clear","Clermont County","Batavia (Township of)",39.085292,-84.154264,TRUE,FALSE,"Unit 1 was traveling eastbound on Old SR 32. Unit 2 was parked partially on the roadway and disabled facing eastbound on Old SR 32. Unit 3 was standing outside of Unit 2. Unit 2 and Unit 3 were struck by Unit 1.Crash supplemented on 02-07-2018 for pending lab results. Crash supplemented on 03-02-2018 for Unit at fault update. Crash supplemented on 04-02-2018 for charges against the driver of Unit 1. Supplemented on 04-15-2018 for Urine Lab Results and E-Citation Information."
2018-01-09,2018,1,9,18:09:00,"Dark - Lighted Roadway","Clear","Franklin County","Columbus",40.01029,-82.96948,TRUE,FALSE,"Unit 1 was traveling northbound on Cleveland Avenue in an unknown lane. Unit 1 struck Unit 3; as he was attempting to cross Cleveland Avenue at East Blake Avenue causing Unit 3 to fall into the southbound lanes of travel of Cleveland Ave.  Unit 2 was traveling southbound on Cleveland Avenue in the middle lane and struck Unit 3 at East Blake Avenue. Columbus EMS 13 responded to scene and pronounced the victim deceased at 6:13PM.   AIU responded to the scene and processed the scene."
2018-01-26,2018,1,26,16:38:00,"Daylight","Clear","Butler County","Middletown",39.538083,-84.367717,TRUE,FALSE,"Unit # 1 was walking northbound from Access Road 1 attempting to cross State Route 73.  Unit # 2 was traveling eastbound on SR 73.  Unit 1 was not in a crosswalk when he walked onto SR 73 and was struck by Unit 2."
2018-02-02,2018,2,2,18:20:00,"Dark - Lighted Roadway","Cloudy","Montgomery County","Dayton",39.797891,-84.258982,TRUE,FALSE,"On February 2; 2018 at approximately 1820 hours Unit #1 was traveling east on Free Pike at an unknown speed and when at 4218 failed to maintain the assured clear stopping distance ahead and collided with the rear of Unit #2 which was a stopped vehicle and a disabled vehicle being towed by Unit #4.  The collision caused Unit #2 to strike Unit #3; a pedestrian; standing in front of Unit #2.  Unit #2 and Unit #3 were then pushed into Unit #4 that was stopped; unoccupied; and connected to Unit #2 with a chain.  Unit #4 was then pushed forward; ran off the right side of the roadway and collided with a fire hydrant.  The pedestrian was pronounced deceased at the scene."
2018-02-06,2018,2,6,18:14:00,"Dark - Roadway Not Lighted","Cloudy","Mahoning County","Austintown",41.076083,-80.732228,TRUE,FALSE,"Unit #1 was traveling southbound on S. Raccoon Road. Unit #1 stated that out of no where he observed what he believed to be either a deer; person or dog run in front of his vehicle from the east and struck it. Once contact was made; he began to immediately slow down when he realized a person was on the hood of his vehicle. The person then fell off of his vehicle to the west and he came to a stop a short distance away and put on his hazard lights. Unit #1 exited his vehicle and observed the pedestrian laying on the ground unresponsive.      I spoke with a witness at the scene who was traveling northbound on S. Raccoon Road. The witness stated that he did not see the pedestrian until they crossed the driver side headlight of Unit #1 then he observed the pedestrian being struck by Unit #1. The witness further stated that Unit #1 appeared to be driving the speed limit and could not have seen the pedestrian due to the lack of lighting on the roadway."
2018-02-08,2018,2,8,01:54:00,"Dark - Lighted Roadway","Cloudy","Lorain County","OBERLIN POLICE DEPT",41.297606,-82.21723,TRUE,FALSE,"Fatal Hit/Skip pedestrian crash. Upon further investigation; it appears that Unit #1 was walking southbound on SR 58; in the roadway; wearing dark colored clothing. He was struck from the rear by an unknown Unit #2 that was travelling southbound on SR 58; Unit #2 did not stop or report the crash. The crash was reported by an uninvolved passing motorist; shortly after it had occurred."
2018-01-05,2018,1,5,22:42:00,"Dark - Lighted Roadway","Clear","Franklin County","Columbus",39.94799,-82.87784,TRUE,FALSE,"Unit 2 was traveling on the west side of S Hamilton Rd in an unknown direction. Unit 1 was traveling southbound on S Hamilton Rd in the outer lane on the west side of the street. Unit 1 failed to observe Unit 2 and Unit 1's front right bumper struck Unit 2. The momentum of the collision launched Unit 2 southbound onto the roadside where he came to rest. Unit 1 continued southbound on S Hamilton Rd.  Unit 1 fled the scene prior to officers arrival. Unit 2 was unresponsive and was transported by CFD Medic 823 in critical condition to Grant Hospital. Unit 2 was later pronounced by Dr. O'Mara at 1:24 am. Detective Brant in AIU responded to scene to take photographs and collect property. The property was transported to the CPD property room."
2018-02-14,2018,2,14,21:27:00,"Dark - Lighted Roadway","Rain","Franklin County","Columbus",39.96545,-82.99678,TRUE,FALSE,"Unit 1 was E/B on E Long St approaching N 4th St in the second left turn lane from the curb and had a green light. Unit 2; a pedestrian; was crossing from the N/W corner of N 4th St and E Long St to the N/E corner in a marked cross walk with a 'Walk' signal. Unit 1 failed to yield to Unit 2 and struck Unit 2 in the crosswalk.  Unit 2 was transported to Grant Hospital by Columbus Fire Medic 1 in critical condition with a head injury.  Driver of Unit 1 stated he did not see Unit 2 until the moment of impact and believed Unit 2 was crossing north of and outside of the marked crosswalk at the time of impact. Listed witness officer reviewed surveillance camera footage from a business at 141 N 4th St which showed Unit 2 was legally and properly crossing N 4th St in the crosswalk when Unit 1 failed to yield to him and struck him.  AIU was notified and responded to the scene."
2018-01-04,2018,1,4,19:46:00,"Dark - Lighted Roadway","Snow","Fairfield County","Lancaster",39.720168,-82.611544,TRUE,FALSE,"UNIT 2 WAS EASTBOUND ON W. SIXTH AVE. UNIT 1 WAS WALKING THROUGH THE MIDDLE OF THE INTERSECTION OF W. SIXTH AVE. AND N. ZANE AVE. UNIT 1 STOPPED IN THE INTERSECTION AND FELL TO THE GROUND. UNIT 2 WAS UNABLE TO SEE UNIT 1. WHEN UNIT 2 DID OBSERVE UNIT 1 THEY WERE UNABLE TO STOP BEFORE STRIKING UNIT 1. UNIT 1 WAS OUTSIDE A PEDESTRIAN CROSSWALK AREA."
2018-02-19,2018,2,19,18:35:00,"Dawn/Dusk","Cloudy","Hamilton County","CINCINNATI",39.152644,-84.488387,TRUE,FALSE,"UNIT #1 WAS RUNNING NORTHBOUND ACROSS STREET.  UNIT #1 CAME DARTING OUT BETWEEN TWO PARKED VEHICLES IN TO THE PATH OF ONCOMING TRAFFIC.  UNIT #1 WAS STRUCK BY UNIT #2.  UNIT #2 WAS TRAVELING WESTBOUND GREENWOOD AVENUE. UNIT #1 SUCCUMBED TO HIS INJURIES 2-22-18 AT CHILDREN'S HOSPITAL."
2018-02-27,2018,2,27,17:55:00,"Daylight","Clear","Athens County","Dover (Township of)",39.417194,-82.116889,TRUE,FALSE,"Unit #2 was a pedestrian walking with a bicycle on the right; unpaved berm of SR-13 traveling northeast. Unit #1 was traveling northeast on SR-13 when it traveled off the right side of the roadway striking Unit #2. Unit #2 came to a final rest off the roadway near the railroad tracks. Unit #1 came to a controlled final rest in the northbound lane of SR-13."
2018-03-06,2018,3,6,05:39:00,"Dark - Lighted Roadway","Clear","Montgomery County","Dayton",39.797576,-84.25559,TRUE,FALSE,"On March 6; 2018 at approximately 0539 hours Unit #1 was traveling east bound on Free Pike; in the lane closest to the south curb and was stopped at the traffic light at the intersection of Free Pike and N Gettysburg Ave. Once the light turned green Unit #1 began a right hand turn to proceed south bound on N Gettysburg Ave and in so doing failed to yield the right of way to Unit #2; a pedestrian; that was in the crosswalk on the south side of the intersection; proceeding eastbound. The driver of Unit #1 failed to stop and properly identify themselves and fled the scene immediately afterwards. This crash is still under investigation and will be supplemented as needed. A complete copy of the crash report may be obtained from the Dayton Police Departments Crash Reconstruction Unit; 335 W. Third St. Dayton; OH 45402 937-333-1359"
2018-03-01,2018,3,1,21:15:00,"Dark - Lighted Roadway","Rain","Montgomery County","Dayton",39.756428,-84.138931,TRUE,FALSE,"On March 1; 2018 at approximately 2115 hours unit number one was traveling south on South Smithville Road in the only lane of travel and when at Suman Avenue struck unit number two; a pedestrian.Unit number one  then continued south and drove over the west curb and thru the grass between the sidewalk and the curb. Unit number two was at a unknown location when he was struck and came to final rest in the front yard of 705 South Smithville Road. Unit number one then fled the scene without properly identifying themselves.This crash is still under investigation and will be supplemented as needed. A complete copy of the crash report may be obtained from the Dayton Police Departments Crash Reconstruction Unit; 335 W. Third St. Dayton; OH 45402 937-333-1141"
2018-03-03,2018,3,3,20:40:00,"Dark - Roadway Not Lighted","Clear","Lake County","Concord (Township of)",41.694061,-81.199464,TRUE,FALSE,"Unit # 2 was northeast bound on Interstate 90. Unit # 1; a pedestrian; was running northwest across Interstate 90. Unit # 2 swerved to the left and ran off the left side of the road in order to avoid a collision with Unit # 1.  Unit # 2 was unable to avoid a collision and struck Unit # 1."
2018-03-08,2018,3,8,04:41:00,"Dark - Roadway Not Lighted","Cloudy","Butler County","West Chester (Township of) AKA",39.307297,-84.436128,TRUE,FALSE,"Unit # 1 was disabled in the northbound lanes of IR 75 from a prior crash; facing westbound.  Unit #4 and #5; pedestrians; were standing on the roadway on the north side of Unit #1.  Unit #2 was northbound on IR 75 and struck the left side of unit #1 pushing it into Units #4 and #5.  Unit #3 was northbound on IR 75 and struck unit #4.**03/19/2018:  OH-2 diagram supplemented."
2018-03-13,2018,3,13,07:18:00,"Dark - Roadway Not Lighted","Cloudy","Clark County","Madison (Township of)",39.843611,-83.705,TRUE,FALSE,"Eastbound on Old Springfield Road unit #2 crested a hill and swerved to the right to avoid a head on collision with unit #1 that was parked facing westbound in the eastbound lane. Unit #2 struck two pedestrians standing in the roadway. DV= Disabled vehicle.6/11/18 Supplemented Urine Drug Toxicology and Alcohol Analysis for Stephanie Weaver (unit#2).      * 02/24/2019 Supllement Coroner report information and lab results for Dena Portis;"
2018-03-16,2018,3,16,20:38:00,"Dark - Lighted Roadway","Clear","Richland County","Mifflin (Township of)",40.780033,-82.419208,TRUE,FALSE,"Unit #1 was walking in the roadway of US-30 from a previous crash that occurred near Reed Road.  Unit #2 was driving eastbound on US-30 and struck Unit #1.CRASH SUPPLEMENTED #1: OH-1 (Alcohol suspected & Results pending) OH-1 (Pending blood test from coroner) OH-2 (Correction of Mr. Spade's DOB )OH-2 (Corrected measurement ""A"" AE). CRASH SUPPLEMENTED #2:  OH-1 (Alcohol and drug results updated). OH-2 (Alcohol and drug results updated)."
2018-03-31,2018,3,31,08:19:00,"Daylight","Clear","Franklin County","Columbus",39.95747,-82.98669,TRUE,FALSE,"Unit 1 was traveling westbound on E Main St. Unit 1 lost control and struck a utility pole on the northeast corner at the intersection of E. Main St and S. Washington Ave. The Driver of Unit 1 was pronounced as deceased at the scene of the accident. AIU responded and processed the scene.  Kathleen Pishas was a pedestrian standing on the northeast corner of Main and Washington when the crash occurred. She was struck by debris from the crash but was not injured."
2018-03-29,2018,3,29,17:04:00,"Daylight","Rain","Huron County","NORWALK",41.241436,-82.617614,TRUE,FALSE,"Unit 2; a pedestrian; was crossing West Main Street near Case Street from north to south. Unit 1 was on Church Street and turned left onto West Main Street; with the green light; and struck Unit 2.     Unit 2 received incapacitating injuries and was transported to Fisher-Titus. Unit 2 was transported to another healthcare facility for treatment.     /30/18 Unit 2  died as a result of injuries received from the crash."
2018-03-09,2018,3,9,06:08:00,"Dark - Lighted Roadway","Snow","Cuyahoga County","WESTLAKE",41.445931,-81.930357,TRUE,FALSE,"Unit 1 was traveling westbound on Center Ridge Rd.; in the curb lane; approaching the intersection of Northglen Dr.  Unit 1 struck a female pedestrian in the roadway; who was transported to St. John Medical Center; and was later pronounced dead by emergency room personnel."
2018-04-25,2018,4,25,22:16:00,"Dark - Lighted Roadway","Cloudy","Franklin County","Columbus",39.973358,-83.010933,TRUE,FALSE,"UNITS 2 AND 3 (PEDESTRIANS) WERE STANDING IN LANE 3 OF IR-670 E/B; W/O NEIL AV; AFTER A PREVIOUS ACCIDENT. UNIT 1 WAS TRAVELING IN THE ENTRANCE LANE FROM SR-315 S/B TO IR-670 E/B. UNIT 1 CUT LEFT; THROUGH THE GORE; AND ENTERED LANE 3 OF IR-670 E/B. UNIT 1 STRUCK UNITS 2 AND 3; THEN TRAVELED ACROSS LANES 1 AND 2; AND STRUCK THE CONCRETE MEDIAN WALL."
2018-02-21,2018,2,21,22:14:00,"Dark - Lighted Roadway","Other/Unknown","Franklin County","WHITEHALL",39.955269,-82.871301,TRUE,FALSE,"Pedestrian 1 was walking in an unknown direction near Shadylane Rd. and E. Main St. (SR40). Pedestrian 1 was struck by an unknown vehicle driving in and unknown direction near the intersection of Shadylane Rd. and E. Main St. (SR40)."
2018-04-22,2018,4,22,02:51:00,"Dark - Roadway Not Lighted","Clear","Hamilton County","COLERAIN",39.218778,-84.600792,TRUE,FALSE,"Unit 2 was traveling northbound on Cheviot Road.  Unit 1; a pedestrian was in the roadway in the northbound lane of travel.  Unit 1 was struck by Unit 2 causing Unit 1 to be thrown off the right side of the road and come to an uncontrolled final rest in the front yard of 7940 Cheviot Road.  Unit 2 fled the scene failing to stop after the crash; to render aid to Unit 1 or call police to report the crash. Unit 1; was discovered in the front yard of 7940 Cheviot Road by a passing motorist approximately nineteen minutes after the crash."
2018-05-03,2018,5,3,21:05:00,"Dark - Roadway Not Lighted","Clear","Hamilton County","SPRINGFIELD TWP",39.307383,-84.555481,TRUE,FALSE,"Unit 1 was walking westbound on John Gray Road in the lane of travel. Unit 2 was traveling eastbound on John Gray Road. Unit 2 struck Unit 1 in the lane of travel. Unit 1 was pronounced dead at the scene by Fairfield Medics. Unit 2 did not report any injuries. There was functional damage to the front right and side areas of Unit 2. Unit 2 was towed by Blust Towing to the Springfield Township Police Department."
2018-05-11,2018,5,11,21:44:00,"Dark - Lighted Roadway","Clear","Franklin County","Columbus",39.94659,-82.90377,TRUE,FALSE,"Unit 2 was traveling westbound on E Livingston Ave; West of Cunard Rd; when Unit 1 (pedestrian riding a power wheelchair) was in the middle of the roadway.  Unit 1 traveled northbound into the oncoming path of Unit 2; causing a collision.  Unit 1 was transported to Grant Hospital by CFD medics and was later pronounced dead. The operator of Unit 2 was not injured.  Columbus Police Accident Investigation Unit responded and processed the scene."
2018-05-01,2018,5,1,21:26:00,"Dark - Lighted Roadway","Clear","Montgomery County","Harrison (Township of)",39.793283,-84.191112,TRUE,FALSE,"Unit 1 was walking Westbound across N. Dixie Dr. towards Edgeworth Ave. When Unit 1 reached the right Southbound lane of N. Dixie Drive; Unit 2 who was traveling Southbound on N. Dixie Dr. struck Unit 1. This incident remains under investigation by the Traffic Services Unit.Recon Report Added."
2018-05-03,2018,5,3,21:30:00,"Dark - Roadway Not Lighted","Cloudy","Marion County","Green Camp (Township of)",40.515789,-83.243058,FALSE,TRUE,"Unit 1 was traveling westbound on State Route 739 in the eastbound lane. Unit 2 was traveling westbound and attempted to pass a vehicle. Unit 2 struck Unit 1 in the rear while in the eastbound lane. Unit 1 traveled off the left side of the roadway where it came to rest. Unit 2 came to a controlled rest in the westbound lane.**Supplement 05/23/2018**Unit 1 rider condition: Changed from under the influence of medication.drugs/alcohol to apparently normal.Investigator Officer Notes: Added clothing description of unit 1 rider.**Supplement 07/14/2018**The coroner report from the Franklin County Coroner's Office for Unit 1 rider has been obtained. It was found that Unit 1 rider blood results were: 1354 ng/mL Methamphetamine; 156ng/mL Amphetamine. Drug and alcohol results changed to known and entered."
2018-05-04,2018,5,4,18:07:00,"Daylight","Cloudy","Muskingum County","ZANESVILLE",39.953053,-82.007411,TRUE,FALSE,"Unit 1 (Pedestrian) was walking southbound crossing Adair Ave just west of Linden Ave; and was stopped on the median waiting for traffic.  Unit 2 was traveling eastbound on Adair Ave in the left lane.  Unit 3 was traveling westbound on Adair Ave near Linden Ave in the left lane.  Unit 3 is suspected of suffering from a medical issue and failed to control the vehicle. Unit 3 crossed over the center raised median.  Unit 3's left front struck Unit 1. Unit 3 continued westbound in the eastbound lanes.  Unit 3's front end then struck Unit 2's front end."
2018-05-09,2018,5,9,09:55:00,"Daylight","Clear","Geauga County","Burton",41.490531,-81.1451,TRUE,FALSE,"Unit # 1 was traveling south on Claridon Troy Road. Unit # 2 was walking south in the northbound lane on Claridon Troy Road. Unit # 2 failed to yield to traffic while attempting to cross the roadway and was struck by Unit #1. Unit # 1 then struck a mail box.Items Supplemented:   6/20/18 Alcohol results updated                                    8/7/18 Urine Drug Toxicology"
2018-05-11,2018,5,11,18:33:00,"Daylight","Clear","Montgomery County","Dayton",39.7428,-84.2438,TRUE,FALSE,"AT ABOUT 1833 ON 5/11/18 UNIT #1 WAS STANDING IN THE AREA OF THE WEST CURB ON INGRAM ST APPROXIMATELY 50 FT SOUTH OF McCABE AVE. AT THAT TIME UNIT #1 UNEXPECTEDLY DARTED EAST INTO THE ROADWAY IN FRONT OF 2 VEHICLES THAT WERE LEGALLY PARKED AGAINST THE WEST CURB AND IN DOING SO WAS STRUCK BY UNIT #2 WHICH WAS TRAVELING SOUTH ON INGRAM ST AT AN UNKNOWN RATE OF SPEED.  THIS IS A SUPP TO UPDATE THE DRUG RESULTS FOR THE DRIVER OF UNIT #1. THE DRIVER TESTED POSITIVE FOR THC 13 ng/mL +/- 4 ng/mL   END OF REPORT"
2018-05-03,2018,5,3,22:00:00,"Dark - Lighted Roadway","Clear","Hamilton County","CINCINNATI",39.113785,-84.575542,TRUE,FALSE,"Unit #1 was a pedestrian crossing Glenway Ave from the north side of the street toward the south side of the street. Unit #1 was not in a marked crosswalk. Unit #2 was traveling eastbound on Glenway Ave in the left lane. Unit #2 struck Unit #1 when Unit #1 was illegally in the roadway. Unit #1 died at UCMC."
2018-05-26,2018,5,26,20:45:00,"Dawn/Dusk","Cloudy","Franklin County","Columbus",39.92753,-83.08006,TRUE,FALSE,"Unit #1 stated that he was reversing from a parked position in the private drive of 3149 Telham Dr. .  Unit #1 stated he looked in the rearview mirror and observed Unit #2 behind the vehicle.  Unit #1 stated that he honked the vehicle horn a ""couple"" of times and then looked again in the rearview mirror and did not see Unit #2.  Unit #1 stated he started to reverse and felt that he struck Unit #2.  Unit #1 stated that he exited the vehicle and observed that Unit #2 was laying on the ground and had been ran over by Unit #1.  Franklin Township Medic #193 arrived on scene and pronounced time of death at 2052.  The operator of Unit #1 was transported to Mt. Carmel West where she submitted a blood sample."
2018-05-18,2018,5,18,22:25:00,"Dark - Lighted Roadway","Clear","Cuyahoga County","WALTON HILLS",41.354225,-81.522978,TRUE,FALSE,"Unit #1 was northbound on Northfield Rd at 7845 and struck unit #2.  Unit #2 was walking northbound in the northbound curb lane."
2018-05-30,2018,5,30,07:04:00,"Daylight","Cloudy","Franklin County","Columbus",40.06624,-82.97021,TRUE,FALSE,"Driver Unit #1 stated he had just let his son and daughter out of the vehicle while he was parked on southbound Tamarack Blvd at Sharbot Dr.  As he was pulling away from the curb; driver heard his son scream so he stopped and looked back to see his daughter laying on the ground.  Unit #1 was pulled into a nearby parking lot so CFD could enter the roadway and begin treating his daughter.  The daughter was transported to Riverside Hospital by CFD Medic 24."
